id,pr01,pr02,pr03,pr04,pr05,pr06,pr07,pr08,pr09,pr10,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,ut01,ut02,ut03,ut04,ut05,ut06,ut07,ut08,ut09,ut10,ut11,ut12,fa01,fa02,fa03,fa04,fa05,fa06,fa07,fa08,fa09,fa10,de01,de02,de03,de04,de05,de06,de07,de08,de09,de10,de11,un01,un02,un03,un04,un05,un06,un07,un08,un09,un10,un11,un12,gt01,gt02,gt03,gt04,gt05,gt06,n_dighelp,f_socnet,dig_job
00XzIUUVmQ,3,3,3,2,3,2,3,2,2,2,2,3,3,4,2,3,2,2,2,3,3,2,3,3,3,2,3,3,2,2,2,3,2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,2,3,3,4,3,2,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,1,-2,FALSE
0aABrq9MBY,3,3,3,3,2,2,3,3,4,3,3,3,4,2,2,3,3,2,3,2,4,3,2,3,2,3,2,3,3,2,2,4,2,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,3,2,3,3,3,2,1,1,3,3,3,3,1,3,2,2,3,2,3,2,3,3,NA,-2,FALSE
0c6myGTrKr,3,3,3,3,1,4,3,4,3,3,3,3,4,4,3,4,1,2,2,3,4,3,4,3,3,4,4,3,3,2,3,4,3,2,3,3,3,4,3,2,3,2,3,3,4,2,4,3,3,3,3,4,2,3,3,3,3,4,2,2,3,4,3,3,3,3,3,3,3,2,3,1,2,FALSE
0CS5iaAVos,3,3,3,3,2,3,3,2,3,2,2,2,2,4,2,4,1,1,1,2,5,4,5,4,5,4,5,4,3,4,4,3,4,4,1,2,3,3,3,2,4,4,3,3,3,0,3,3,3,3,3,3,3,2,2,3,3,3,1,2,3,2,2,2,3,2,3,3,2,2,3,3,1.5,TRUE
0hrSDnMpUk,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,1,4,4,3,4,4,1,4,4,4,4,4,3,1,3,4,2,2,4,1,4,3,1,1,2,1,3,3,3,2,3,3,3,3,3,3,2,4,4,4,4,4,1,4,4,4,4,4,4,3,3,3,3,1,3,2,-2,FALSE
0iqSSzBl6e,4,3,1,0,4,5,5,4,4,4,4,3,4,5,4,3,1,5,4,5,5,5,5,5,3,5,4,5,4,2,2,2,2,0,2,2,4,2,3,2,1,3,3,4,5,2,5,3,3,5,5,3,1,3,3,5,3,4,1,4,4,4,3,4,4,2,3,2,4,4,3,1,-2,FALSE
0maEmGpULZ,3,3,5,3,4,4,3,4,4,3,3,3,4,4,4,4,1,2,3,3,5,5,3,4,4,4,4,4,4,2,4,4,3,2,1,2,3,4,2,2,2,3,4,4,3,0,5,4,4,4,5,4,4,4,4,4,3,4,4,3,4,4,4,3,4,1,1,1,1,0,3,3,-2,FALSE
0tQInW4G3B,1,1,1,2,1,3,2,4,3,3,2,1,2,3,2,2,3,1,2,1,4,3,4,3,3,3,3,3,3,1,1,3,3,3,0,0,3,0,1,3,3,4,3,2,2,3,4,0,3,1,4,3,4,3,2,2,2,3,1,1,4,1,2,3,3,1,1,1,1,2,1,2,1,FALSE
0uZliSVPMZ,3,3,3,4,0,4,1,3,3,1,4,2,2,5,3,2,0,2,1,1,4,3,3,2,4,3,4,4,3,3,1,3,2,2,3,1,2,2,1,2,2,4,3,1,1,1,4,0,3,1,1,3,1,4,3,4,4,4,4,2,4,2,2,4,4,1,1,1,2,0,1,4,0,FALSE
17jWtPKrPr,4,3,4,3,3,4,3,4,4,3,3,3,3,4,2,3,1,1,2,2,3,3,3,3,3,3,3,4,4,3,3,4,2,1,2,2,3,3,3,2,2,2,3,3,3,3,4,3,3,3,4,3,1,4,3,3,3,4,4,3,3,4,4,3,3,2,2,3,2,2,3,1,3,FALSE
17XN2GOE6F,3,4,4,5,2,4,3,4,4,3,3,2,4,4,2,2,3,1,2,2,4,3,4,3,3,4,2,4,4,2,2,4,1,1,1,2,1,3,2,1,1,1,4,2,3,0,5,2,3,3,5,2,1,4,3,2,3,4,4,4,4,3,3,4,3,2,3,2,3,3,3,2,1.5,FALSE
1anEmI3vYK,3,3,1,2,4,4,4,4,4,4,4,3,4,4,4,1,2,1,1,3,4,4,5,4,3,4,4,4,4,2,4,4,2,1,0,1,3,2,2,1,3,2,4,4,4,2,5,3,3,4,5,3,5,3,3,4,3,4,4,3,4,4,3,4,4,1,1,1,1,0,0,1,0,FALSE
1d7CXSliMB,4,2,3,2,0,3,3,4,4,4,2,2,3,3,3,3,2,3,3,2,4,3,3,2,2,4,4,4,4,1,4,2,4,1,4,4,4,4,1,1,1,4,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,NA,-1,FALSE
1fgBHEHq6T,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,1,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,3,2,3,TRUE
1K9AZYhfrl,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,3,3,3,3,3,2,4,3,3,3,2,3,2,2,2,2,1,1,2,2,2,2,2,2,3,1,2,3,5,1,2,3,5,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,2,2,1,3,1,-2,FALSE
1Kr3AOODZh,4,2,2,2,3,4,4,3,4,4,3,3,3,4,3,4,1,2,3,4,4,4,3,4,4,3,4,4,4,3,2,4,3,2,2,2,2,3,1,2,2,2,1,3,2,3,3,1,2,3,2,2,1,4,3,4,3,3,2,2,4,4,3,4,3,3,3,3,3,3,4,1,-2,TRUE
1RDSEuWBwm,3,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,3,3,2,3,3,3,2,3,2,3,3,3,2,3,3,2,2,2,2,2,3,NA,2.5,FALSE
1RFZ3YYyia,3,3,4,4,2,3,1,3,3,3,0,2,3,3,0,0,1,0,0,1,4,3,3,4,2,3,2,1,1,1,1,1,2,1,2,0,2,2,2,3,2,2,2,1,0,0,3,2,3,2,3,2,3,2,2,4,3,3,0,0,3,3,3,4,1,0,0,2,1,1,1,2,2.5,FALSE
1WjZ4KUvYG,4,4,4,4,3,5,4,4,3,3,0,3,3,5,4,4,1,0,3,3,5,5,5,5,4,5,4,5,5,1,4,4,1,2,0,0,3,3,2,4,2,4,3,2,4,1,5,3,4,4,5,3,1,5,4,3,4,4,4,3,4,3,3,4,5,2,2,2,2,0,3,4,-0.5,FALSE
1zVgfYnwfn,3,3,3,2,3,2,3,3,3,2,4,3,2,5,5,4,2,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,1,3,2,3,3,2,2,2,2,2,2,3,3,4,3,3,3,5,2,2,3,2,3,3,3,2,3,3,2,3,3,3,2,3,2,1,2,2,NA,-2,FALSE
27sMU3wN3O,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,-2,FALSE
292nP1CpGq,3,4,3,4,2,3,2,2,3,1,2,2,3,3,2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,1,3,1,1,3,3,3,3,3,2,2,3,3,3,3,3,1,1,2,1,3,1,3,1,2,2,3,4,1,3,2,FALSE
2C5vqAxJUd,2,2,3,3,1,3,3,3,3,1,3,3,4,4,3,4,1,2,3,3,4,3,4,3,4,3,3,4,5,2,2,3,3,2,1,1,2,2,3,2,2,3,3,2,2,3,3,1,3,2,4,2,3,2,3,3,3,3,4,2,2,3,3,2,3,4,3,3,3,2,3,1,2,FALSE
2F5efYz8hr,3,3,3,3,3,1,3,2,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,4,3,3,2,2,2,3,2,2,1,2,3,3,3,2,2,3,3,3,2,2,3,3,3,2,4,2,3,4,3,4,4,3,2,3,4,3,2,3,2,1,1,1,2,1,3,2,2,FALSE
2kqeEL9CHv,4,2,4,3,2,3,3,4,3,3,2,3,3,4,2,3,1,2,3,2,4,3,3,3,3,3,3,3,4,2,3,3,3,3,2,2,3,3,3,2,4,3,3,2,1,1,4,1,3,3,3,3,2,4,1,3,2,3,1,1,3,3,2,3,3,3,3,3,3,2,3,2,-2,FALSE
2quJKHNAKL,1,3,1,4,0,1,1,3,1,4,3,4,4,5,4,4,0,2,3,2,5,1,4,3,4,5,2,4,0,2,3,2,3,0,0,3,4,3,2,1,0,4,0,0,4,0,5,3,2,2,4,2,1,4,2,5,0,5,0,1,2,0,4,1,0,2,2,3,3,4,1,1,0.5,FALSE
